dataset,scaler,stratify,classifier,seed,uar_correct,uar_leakage
svd,StandardScaler,True,svm,100,0.8338966958159979,0.8344068998976306
svd,StandardScaler,True,knn,100,0.7296488426150367,0.7281957718762518
svd,StandardScaler,True,gaussianNB,100,0.6574948098066964,0.662110194422081
svd,StandardScaler,True,lda,100,0.8267803152863131,0.8267803152863131
svd,StandardScaler,True,qda,100,0.7418556870247165,0.740572996614436
svd,StandardScaler,True,dt,100,0.7981906897174074,0.7981906897174074
svd,StandardScaler,True,rf,100,0.81390776980199,0.81390776980199
svd,StandardScaler,True,adaboost,100,0.8125797376015477,0.8125797376015477
svd,StandardScaler,True,mlp,100,0.7786418743016345,0.7860030699943458
voiced,StandardScaler,True,svm,100,0.5342375366568916,0.5493450635386119
voiced,StandardScaler,True,knn,100,0.5014222873900294,0.5244330400782014
voiced,StandardScaler,True,gaussianNB,100,0.5480351906158358,0.5480351906158358
voiced,StandardScaler,True,lda,100,0.48782502443792775,0.48782502443792775
voiced,StandardScaler,True,qda,100,0.5674291300097751,0.5098680351906159
voiced,StandardScaler,True,dt,100,0.6123118279569892,0.6123118279569892
voiced,StandardScaler,True,rf,100,0.5158406647116325,0.5158406647116325
voiced,StandardScaler,True,adaboost,100,0.5551270772238515,0.5551270772238515
voiced,StandardScaler,True,mlp,100,0.5472043010752689,0.5430058651026393
svd,StandardScaler,False,svm,100,0.8336165923487977,0.8343254219213101
svd,StandardScaler,False,knn,100,0.7224207505362598,0.7266800154837284
svd,StandardScaler,False,gaussianNB,100,0.659760792977518,0.657558525437708
svd,StandardScaler,False,lda,100,0.8190285516713105,0.8190285516713105
svd,StandardScaler,False,qda,100,0.731465749626367,0.7340501851601113
svd,StandardScaler,False,dt,100,0.7757079789293532,0.7757079789293532
svd,StandardScaler,False,rf,100,0.8194846174855528,0.8194846174855528
svd,StandardScaler,False,adaboost,100,0.8209318390338588,0.8209318390338588
svd,StandardScaler,False,mlp,100,0.7992052883294047,0.8078736326382115
voiced,StandardScaler,False,svm,100,0.6050079063883619,0.5801739405439594
voiced,StandardScaler,False,knn,100,0.5333479601518026,0.5299059139784946
voiced,StandardScaler,False,gaussianNB,100,0.5332301549652119,0.5332301549652119
voiced,StandardScaler,False,lda,100,0.5250620651486402,0.5250620651486402
voiced,StandardScaler,False,qda,100,0.4625490196078431,0.4980123339658443
voiced,StandardScaler,False,dt,100,0.5590955091714105,0.5590955091714105
voiced,StandardScaler,False,rf,100,0.5158289848197344,0.5158289848197344
voiced,StandardScaler,False,adaboost,100,0.531677340290955,0.531677340290955
voiced,StandardScaler,False,mlp,100,0.5546090290955091,0.5573758697027198
svd,StandardScaler,True,svm,101,0.8276028406344655,0.8278475958792209
svd,StandardScaler,True,knn,101,0.7094062589536962,0.7198121180891084
svd,StandardScaler,True,gaussianNB,101,0.6603465709136375,0.6603465709136375
svd,StandardScaler,True,lda,101,0.8221350496105131,0.8221350496105131
svd,StandardScaler,True,qda,101,0.74388700358166,0.7418409543927538
svd,StandardScaler,True,dt,101,0.7921662379786698,0.7921662379786698
svd,StandardScaler,True,rf,101,0.8164382745571404,0.8161935193123853
svd,StandardScaler,True,adaboost,101,0.8164047366664597,0.8164047366664597
svd,StandardScaler,True,mlp,101,0.7910849673772248,0.79085756119562
voiced,StandardScaler,True,svm,101,0.5456256109481916,0.5383088954056696
voiced,StandardScaler,True,knn,101,0.53911045943304,0.5002101661779081
voiced,StandardScaler,True,gaussianNB,101,0.5565200391006841,0.5565200391006841
voiced,StandardScaler,True,lda,101,0.5098582600195504,0.5098582600195504
voiced,StandardScaler,True,qda,101,0.5027956989247312,0.4987292277614858
voiced,StandardScaler,True,dt,101,0.6130254154447703,0.6130254154447703
voiced,StandardScaler,True,rf,101,0.5516862170087977,0.5425953079178887
voiced,StandardScaler,True,adaboost,101,0.5413196480938416,0.5413196480938416
voiced,StandardScaler,True,mlp,101,0.6113587487781036,0.5939345063538612
svd,StandardScaler,False,svm,101,0.8298776556673728,0.8290077251074452
svd,StandardScaler,False,knn,101,0.7360360080737884,0.7345983716675369
svd,StandardScaler,False,gaussianNB,101,0.6602466003391717,0.6592515754635497
svd,StandardScaler,False,lda,101,0.8191697794717593,0.8191697794717593
svd,StandardScaler,False,qda,101,0.7348709635430836,0.735704269560345
svd,StandardScaler,False,dt,101,0.7933559703107212,0.7933559703107212
svd,StandardScaler,False,rf,101,0.81877852165019,0.81877852165019
svd,StandardScaler,False,adaboost,101,0.8234519428052873,0.8234519428052873
svd,StandardScaler,False,mlp,101,0.7878698524872396,0.7921565085719389
voiced,StandardScaler,False,svm,101,0.5495229094772706,0.5687287610969152
voiced,StandardScaler,False,knn,101,0.4769237287391445,0.47824187982402994
voiced,StandardScaler,False,gaussianNB,101,0.5721215414065313,0.5721215414065313
voiced,StandardScaler,False,lda,101,0.4885043202233871,0.4885043202233871
voiced,StandardScaler,False,qda,101,0.47938362178727295,0.49919926591326186
voiced,StandardScaler,False,dt,101,0.5406855061773926,0.5406855061773926
voiced,StandardScaler,False,rf,101,0.5342782943898563,0.5509449610565229
voiced,StandardScaler,False,adaboost,101,0.5840077316192934,0.5840077316192934
voiced,StandardScaler,False,mlp,101,0.562287808540344,0.5971729318686723
svd,StandardScaler,True,svm,102,0.8265664815010508,0.8263101602141951
svd,StandardScaler,True,knn,102,0.7226426953635241,0.7175903812654084
svd,StandardScaler,True,gaussianNB,102,0.6633941630888197,0.6626308043101937
svd,StandardScaler,True,lda,102,0.8193342789525996,0.8193342789525996
svd,StandardScaler,True,qda,102,0.7314493213075547,0.732704807006879
svd,StandardScaler,True,dt,102,0.7921062234748167,0.7921062234748167
svd,StandardScaler,True,rf,102,0.8126331066243825,0.8126331066243825
svd,StandardScaler,True,adaboost,102,0.8106634387059687,0.8106634387059687
svd,StandardScaler,True,mlp,102,0.7890973421344196,0.7921804204519581
voiced,StandardScaler,True,svm,102,0.5388709677419354,0.565386119257087
voiced,StandardScaler,True,knn,102,0.48627565982404686,0.46733626588465305
voiced,StandardScaler,True,gaussianNB,102,0.5542717497556207,0.5542717497556207
voiced,StandardScaler,True,lda,102,0.5232551319648093,0.5232551319648093
voiced,StandardScaler,True,qda,102,0.4918768328445749,0.4753372434017596
voiced,StandardScaler,True,dt,102,0.5616862170087976,0.5306011730205278
voiced,StandardScaler,True,rf,102,0.4905180840664712,0.4905180840664712
voiced,StandardScaler,True,adaboost,102,0.5563391984359727,0.5563391984359727
voiced,StandardScaler,True,mlp,102,0.610386119257087,0.5852785923753666
svd,StandardScaler,False,svm,102,0.8283388198182315,0.8299013198182316
svd,StandardScaler,False,knn,102,0.7154495468581505,0.7266256949634473
svd,StandardScaler,False,gaussianNB,102,0.6565253515152667,0.6548682057453822
svd,StandardScaler,False,lda,102,0.8207022092674912,0.8207022092674912
svd,StandardScaler,False,qda,102,0.7421904126911583,0.741203787458481
svd,StandardScaler,False,dt,102,0.7821661117083216,0.7821661117083216
svd,StandardScaler,False,rf,102,0.8310425471393328,0.8301804781738156
svd,StandardScaler,False,adaboost,102,0.8251030166563964,0.8251030166563964
svd,StandardScaler,False,mlp,102,0.7782743574999366,0.7696928204812483
voiced,StandardScaler,False,svm,102,0.5281682206682208,0.4928263403263403
voiced,StandardScaler,False,knn,102,0.5043235236985237,0.5115564296814298
voiced,StandardScaler,False,gaussianNB,102,0.5504351204351204,0.5504351204351204
voiced,StandardScaler,False,lda,102,0.5269017094017093,0.5269017094017093
voiced,StandardScaler,False,qda,102,0.5074791181041182,0.5140787684537684
voiced,StandardScaler,False,dt,102,0.5603996697746698,0.5603996697746698
voiced,StandardScaler,False,rf,102,0.5641195609945611,0.5641195609945611
voiced,StandardScaler,False,adaboost,102,0.5858367327117328,0.5858367327117328
voiced,StandardScaler,False,mlp,102,0.5413175019425019,0.5668303224553225
svd,StandardScaler,True,svm,103,0.8210453505055467,0.8215555545871794
svd,StandardScaler,True,knn,103,0.7152357856610856,0.7119511676981688
svd,StandardScaler,True,gaussianNB,103,0.6580921586592251,0.6575793381464046
svd,StandardScaler,True,lda,103,0.8171235144354011,0.8171235144354011
svd,StandardScaler,True,qda,103,0.7345217995381572,0.7406204482540361
svd,StandardScaler,True,dt,103,0.7985600223113855,0.7985600223113855
svd,StandardScaler,True,rf,103,0.8215561337971371,0.8215561337971371
svd,StandardScaler,True,adaboost,103,0.8221175807108196,0.8221175807108196
svd,StandardScaler,True,mlp,103,0.7881962203554351,0.7907226524838302
voiced,StandardScaler,True,svm,103,0.5489345063538612,0.528978494623656
voiced,StandardScaler,True,knn,103,0.4759237536656891,0.4997556207233626
voiced,StandardScaler,True,gaussianNB,103,0.5520625610948191,0.5520625610948191
voiced,StandardScaler,True,lda,103,0.5192766373411535,0.5192766373411535
voiced,StandardScaler,True,qda,103,0.5025513196480939,0.47179863147605083
voiced,StandardScaler,True,dt,103,0.6053225806451612,0.6053225806451612
voiced,StandardScaler,True,rf,103,0.5183528836754643,0.5183528836754643
voiced,StandardScaler,True,adaboost,103,0.5573998044965787,0.5573998044965787
voiced,StandardScaler,True,mlp,103,0.5184604105571847,0.5133528836754643
svd,StandardScaler,False,svm,103,0.8323220111448668,0.8323220111448668
svd,StandardScaler,False,knn,103,0.7229596964940702,0.7239941592665332
svd,StandardScaler,False,gaussianNB,103,0.6539038244541283,0.65468417182916
svd,StandardScaler,False,lda,103,0.8327619972048872,0.8327619972048872
svd,StandardScaler,False,qda,103,0.7429611139142074,0.7455269230755379
svd,StandardScaler,False,dt,103,0.7890309980497039,0.7890309980497039
svd,StandardScaler,False,rf,103,0.828230528878481,0.828230528878481
svd,StandardScaler,False,adaboost,103,0.8177228648069418,0.8177228648069418
svd,StandardScaler,False,mlp,103,0.798316584696228,0.7959744085785339
voiced,StandardScaler,False,svm,103,0.585473692510678,0.5897891687011543
voiced,StandardScaler,False,knn,103,0.5102325094260578,0.5077864474235442
voiced,StandardScaler,False,gaussianNB,103,0.5566627180753988,0.5566627180753988
voiced,StandardScaler,False,lda,103,0.5273450388599166,0.5305708453115294
voiced,StandardScaler,False,qda,103,0.5082541177306193,0.4947480124621393
voiced,StandardScaler,False,dt,103,0.5676063230429194,0.5676063230429194
voiced,StandardScaler,False,rf,103,0.5680598903784387,0.5680598903784387
voiced,StandardScaler,False,adaboost,103,0.6021020108923334,0.6021020108923334
voiced,StandardScaler,False,mlp,103,0.5763624445632232,0.5783645157678805
svd,StandardScaler,True,svm,104,0.8291356389884198,0.8288908837436646
svd,StandardScaler,True,knn,104,0.7220830605236275,0.7213209800014597
svd,StandardScaler,True,gaussianNB,104,0.6580564945777596,0.6585666986593923
svd,StandardScaler,True,lda,104,0.8194161472841953,0.8194161472841953
svd,StandardScaler,True,qda,104,0.7396020028680879,0.7408697827072964
svd,StandardScaler,True,dt,104,0.7765841573911366,0.7765841573911366
svd,StandardScaler,True,rf,104,0.822590858795875,0.822590858795875
svd,StandardScaler,True,adaboost,104,0.8180688922128396,0.8180688922128396
svd,StandardScaler,True,mlp,104,0.7888968882807487,0.7881096693201383
voiced,StandardScaler,True,svm,104,0.5587829912023461,0.5586754643206256
voiced,StandardScaler,True,knn,104,0.49023460410557185,0.5142375366568915
voiced,StandardScaler,True,gaussianNB,104,0.548357771260997,0.548357771260997
voiced,StandardScaler,True,lda,104,0.46964320625610956,0.46964320625610956
