dataset,scaler,stratify,classifier,seed,uar_correct,uar_leakage
svd,MaxAbsScaler,True,svm,0,0.8295603324338329,0.8336563254992917
svd,MaxAbsScaler,True,knn,0,0.7261807621676759,0.7222855207315404
svd,MaxAbsScaler,True,gaussianNB,0,0.6617318232476357,0.6617318232476357
svd,MaxAbsScaler,True,lda,0,0.8218468409090001,0.8218468409090001
svd,MaxAbsScaler,True,qda,0,0.7416904796403161,0.7443458740459831
svd,MaxAbsScaler,True,dt,0,0.7800061951861297,0.7800061951861297
svd,MaxAbsScaler,True,rf,0,0.8149939754901588,0.8149939754901588
svd,MaxAbsScaler,True,adaboost,0,0.8061810472333919,0.8061810472333919
svd,MaxAbsScaler,True,mlp,0,0.7715371342579631,0.7760494231323021
voiced,MaxAbsScaler,True,svm,0,0.5778543499511241,0.5886119257086999
voiced,MaxAbsScaler,True,knn,0,0.5547360703812316,0.5695650048875855
voiced,MaxAbsScaler,True,gaussianNB,0,0.5383186705767351,0.5466520039100684
voiced,MaxAbsScaler,True,lda,0,0.5478250244379277,0.5478250244379277
voiced,MaxAbsScaler,True,qda,0,0.515,0.4756647116324536
voiced,MaxAbsScaler,True,dt,0,0.6126392961876832,0.6126392961876832
voiced,MaxAbsScaler,True,rf,0,0.6002590420332357,0.6002590420332357
voiced,MaxAbsScaler,True,adaboost,0,0.558069403714565,0.558069403714565
voiced,MaxAbsScaler,True,mlp,0,0.5332649071358749,0.5879618768328446
svd,MaxAbsScaler,False,svm,0,0.8271073014111361,0.8249344686956569
svd,MaxAbsScaler,False,knn,0,0.7232636190253271,0.7298407341326509
svd,MaxAbsScaler,False,gaussianNB,0,0.6589522186570076,0.6589522186570076
svd,MaxAbsScaler,False,lda,0,0.8153597918066664,0.8153597918066664
svd,MaxAbsScaler,False,qda,0,0.7360940028608003,0.7382753271244675
svd,MaxAbsScaler,False,dt,0,0.7958587565661147,0.7958587565661147
svd,MaxAbsScaler,False,rf,0,0.8252948568508585,0.8252948568508585
svd,MaxAbsScaler,False,adaboost,0,0.8205098009408051,0.8205098009408051
svd,MaxAbsScaler,False,mlp,0,0.7673230818252994,0.7758718634247502
voiced,MaxAbsScaler,False,svm,0,0.5666137523951763,0.5677925161601468
voiced,MaxAbsScaler,False,knn,0,0.5546401644795693,0.5128662529072707
voiced,MaxAbsScaler,False,gaussianNB,0,0.5512054153669836,0.5512054153669836
voiced,MaxAbsScaler,False,lda,0,0.507931685944756,0.507931685944756
voiced,MaxAbsScaler,False,qda,0,0.5315964286918125,0.4790965129605286
voiced,MaxAbsScaler,False,dt,0,0.5621586971148984,0.5621586971148984
voiced,MaxAbsScaler,False,rf,0,0.5071355378029461,0.5071355378029461
voiced,MaxAbsScaler,False,adaboost,0,0.5371305529842794,0.5371305529842794
voiced,MaxAbsScaler,False,mlp,0,0.5629318123478301,0.5568031657811969
svd,MaxAbsScaler,True,svm,1,0.8361595075226482,0.8458233115485024
svd,MaxAbsScaler,True,knn,1,0.7302563757580116,0.7186202292799894
svd,MaxAbsScaler,True,gaussianNB,1,0.6657789520548517,0.6657789520548517
svd,MaxAbsScaler,True,lda,1,0.8336219414899894,0.8336219414899894
svd,MaxAbsScaler,True,qda,1,0.7416909117781527,0.7395564686131753
svd,MaxAbsScaler,True,dt,1,0.7841617851432464,0.7841617851432464
svd,MaxAbsScaler,True,rf,1,0.8260742801364394,0.8260742801364394
svd,MaxAbsScaler,True,adaboost,1,0.8099562760031679,0.8099562760031679
svd,MaxAbsScaler,True,mlp,1,0.7816235509310754,0.7817435799387817
voiced,MaxAbsScaler,True,svm,1,0.5797360703812316,0.5985043988269794
voiced,MaxAbsScaler,True,knn,1,0.5488074291300098,0.5397165200391006
voiced,MaxAbsScaler,True,gaussianNB,1,0.5517986314760508,0.5517986314760508
voiced,MaxAbsScaler,True,lda,1,0.5340175953079179,0.5340175953079179
voiced,MaxAbsScaler,True,qda,1,0.48984848484848487,0.5039393939393939
voiced,MaxAbsScaler,True,dt,1,0.5895650048875855,0.5895650048875855
voiced,MaxAbsScaler,True,rf,1,0.5558406647116325,0.5558406647116325
voiced,MaxAbsScaler,True,adaboost,1,0.6044525904203324,0.6044525904203324
voiced,MaxAbsScaler,True,mlp,1,0.5852785923753665,0.5877028347996089
svd,MaxAbsScaler,False,svm,1,0.8312808081840781,0.8339174932636432
svd,MaxAbsScaler,False,knn,1,0.7201289806172732,0.7285762251002624
svd,MaxAbsScaler,False,gaussianNB,1,0.6625928364507297,0.6625928364507297
svd,MaxAbsScaler,False,lda,1,0.827980686288971,0.827980686288971
svd,MaxAbsScaler,False,qda,1,0.7367930876535207,0.7385612303919951
svd,MaxAbsScaler,False,dt,1,0.7832095851055437,0.7832095851055437
svd,MaxAbsScaler,False,rf,1,0.8139794061841739,0.8139794061841739
svd,MaxAbsScaler,False,adaboost,1,0.8105933856297629,0.8105933856297629
svd,MaxAbsScaler,False,mlp,1,0.7646382406613749,0.7933976625477366
voiced,MaxAbsScaler,False,svm,1,0.5813737152724917,0.5549512488500253
voiced,MaxAbsScaler,False,knn,1,0.5113425411979361,0.5094469869108356
voiced,MaxAbsScaler,False,gaussianNB,1,0.5775769463922968,0.5775769463922968
voiced,MaxAbsScaler,False,lda,1,0.4788566319767654,0.4788566319767654
voiced,MaxAbsScaler,False,qda,1,0.4931722574381084,0.5134615384615385
voiced,MaxAbsScaler,False,dt,1,0.6268555421836847,0.6268555421836847
voiced,MaxAbsScaler,False,rf,1,0.6257787754617565,0.6257787754617565
voiced,MaxAbsScaler,False,adaboost,1,0.5852816381904258,0.5852816381904258
voiced,MaxAbsScaler,False,mlp,1,0.5976941735395572,0.5869873324878887
svd,MaxAbsScaler,True,svm,2,0.8301096649624459,0.8316279830674596
svd,MaxAbsScaler,True,knn,2,0.7203425091811132,0.7258549138974439
svd,MaxAbsScaler,True,gaussianNB,2,0.6609802084502193,0.6609802084502193
svd,MaxAbsScaler,True,lda,2,0.816594623115888,0.816594623115888
svd,MaxAbsScaler,True,qda,2,0.7439700158075295,0.7415887511252832
svd,MaxAbsScaler,True,dt,2,0.7881230038591,0.7881230038591
svd,MaxAbsScaler,True,rf,2,0.8195939592940682,0.8195939592940682
svd,MaxAbsScaler,True,adaboost,2,0.8185478026154144,0.8185478026154144
svd,MaxAbsScaler,True,mlp,2,0.7833208721485713,0.7789722146265221
voiced,MaxAbsScaler,True,svm,2,0.5510117302052786,0.558435972629521
voiced,MaxAbsScaler,True,knn,2,0.46425708699902246,0.5067008797653959
voiced,MaxAbsScaler,True,gaussianNB,2,0.5564760508308895,0.5564760508308895
