dataset,scaler,stratify,classifier,seed,uar_correct,uar_leakage
svd,MinMaxScaler,True,svm,0,0.8343801854270774,0.83746265366767
svd,MinMaxScaler,True,knn,0,0.7872782379379979,0.7844908617373176
svd,MinMaxScaler,True,gaussianNB,0,0.6617318232476357,0.6617318232476357
svd,MinMaxScaler,True,lda,0,0.8218468409090001,0.8218468409090001
svd,MinMaxScaler,True,qda,0,0.770538937616364,0.7653294433665208
svd,MinMaxScaler,True,dt,0,0.7800061951861297,0.7800061951861297
svd,MinMaxScaler,True,rf,0,0.8192480547442379,0.8180009684971516
svd,MinMaxScaler,True,adaboost,0,0.8061810472333919,0.8061810472333919
svd,MinMaxScaler,True,mlp,0,0.8133529828949676,0.8121040083144774
voiced,MinMaxScaler,True,svm,0,0.5606451612903226,0.5606451612903227
voiced,MinMaxScaler,True,knn,0,0.5305816226783968,0.5505816226783968
voiced,MinMaxScaler,True,gaussianNB,0,0.5383186705767351,0.5466520039100684
voiced,MinMaxScaler,True,lda,0,0.5478250244379277,0.5478250244379277
voiced,MinMaxScaler,True,qda,0,0.4876588465298142,0.5053030303030303
voiced,MinMaxScaler,True,dt,0,0.6126392961876832,0.6126392961876832
voiced,MinMaxScaler,True,rf,0,0.6002590420332357,0.6002590420332357
voiced,MinMaxScaler,True,adaboost,0,0.558069403714565,0.558069403714565
voiced,MinMaxScaler,True,mlp,0,0.5836559139784947,0.5820967741935483
svd,MinMaxScaler,False,svm,0,0.8318189370705508,0.8334198478483634
svd,MinMaxScaler,False,knn,0,0.7888516820099968,0.7851050081788709
svd,MinMaxScaler,False,gaussianNB,0,0.6589522186570076,0.6589522186570076
svd,MinMaxScaler,False,lda,0,0.8153597918066664,0.8153597918066664
svd,MinMaxScaler,False,qda,0,0.7664287257127527,0.7643531291736922
svd,MinMaxScaler,False,dt,0,0.7958587565661147,0.7958587565661147
svd,MinMaxScaler,False,rf,0,0.8252948568508585,0.8252948568508585
svd,MinMaxScaler,False,adaboost,0,0.8205098009408051,0.8205098009408051
