dataset,scaler,stratify,classifier,seed,uar_correct,uar_leakage
svd,QuantileTransformer,True,svm,0,0.8096519511023328,0.809896706347088
svd,QuantileTransformer,True,knn,0,0.7212160540295764,0.7196882361549755
svd,QuantileTransformer,True,gaussianNB,0,0.686791970297968,0.6870451249949614
svd,QuantileTransformer,True,lda,0,0.7918808236474539,0.7900970567055626
svd,QuantileTransformer,True,qda,0,0.7574444112775629,0.7559183037972569
svd,QuantileTransformer,True,dt,0,0.790590774184013,0.790590774184013
svd,QuantileTransformer,True,rf,0,0.8152128042804161,0.8205158345834462
svd,QuantileTransformer,True,adaboost,0,0.8061810472333919,0.8061810472333919
svd,QuantileTransformer,True,mlp,0,0.7689639041438386,0.7736979941178415
voiced,QuantileTransformer,True,svm,0,0.5382649071358749,0.542355816226784
voiced,QuantileTransformer,True,knn,0,0.5206451612903226,0.5140224828934506
voiced,QuantileTransformer,True,gaussianNB,0,0.5980840664711632,0.5946432062561094
voiced,QuantileTransformer,True,lda,0,0.5631036168132942,0.48524926686217007
voiced,QuantileTransformer,True,qda,0,0.532316715542522,0.4809139784946237
voiced,QuantileTransformer,True,dt,0,0.5761681329423265,0.6288954056695992
voiced,QuantileTransformer,True,rf,0,0.5795014662756599,0.5795014662756599
voiced,QuantileTransformer,True,adaboost,0,0.558069403714565,0.529130009775171
voiced,QuantileTransformer,True,mlp,0,0.5555816226783968,0.5480058651026394
svd,QuantileTransformer,False,svm,0,0.815115317606784,0.8137866879523212
svd,QuantileTransformer,False,knn,0,0.7105873306900465,0.708134865518923
svd,QuantileTransformer,False,gaussianNB,0,0.6845571074441577,0.6846421990244952
svd,QuantileTransformer,False,lda,0,0.7882916239574029,0.7940169581350763
svd,QuantileTransformer,False,qda,0,0.7544601954305274,0.756636538987468
svd,QuantileTransformer,False,dt,0,0.8041541677453017,0.8041541677453017
svd,QuantileTransformer,False,rf,0,0.8225623281763778,0.8248769200098645
svd,QuantileTransformer,False,adaboost,0,0.8205098009408051,0.8205098009408051
svd,QuantileTransformer,False,mlp,0,0.7769075927797191,0.7632973491927232
voiced,QuantileTransformer,False,svm,0,0.587223148097731,0.5825390083127848
voiced,QuantileTransformer,False,knn,0,0.558342643405908,0.5227799957735998
voiced,QuantileTransformer,False,gaussianNB,0,0.6205989755517008,0.6323282684593863
voiced,QuantileTransformer,False,lda,0,0.5336567307368197,0.5014290742627784
voiced,QuantileTransformer,False,qda,0,0.46777738182284895,0.550905784982537
voiced,QuantileTransformer,False,dt,0,0.5538916767789125,0.6111861064871353
voiced,QuantileTransformer,False,rf,0,0.5070280109212255,0.5046214017258233
voiced,QuantileTransformer,False,adaboost,0,0.5371305529842794,0.5630555804040231
voiced,QuantileTransformer,False,mlp,0,0.6070917585843894,0.5705747175053348
svd,QuantileTransformer,True,svm,1,0.827746967681537,0.8262234167141473
svd,QuantileTransformer,True,knn,1,0.718546716823707,0.7221228280988369
svd,QuantileTransformer,True,gaussianNB,1,0.6893533384100451,0.6903839744406811
svd,QuantileTransformer,True,lda,1,0.7929812717271822,0.7945197332656437
svd,QuantileTransformer,True,qda,1,0.7631095512993005,0.7673974063014412
svd,QuantileTransformer,True,dt,1,0.7779470474999373,0.7781944191758805
svd,QuantileTransformer,True,rf,1,0.8243054237656201,0.828627366817116
svd,QuantileTransformer,True,adaboost,1,0.8099562760031679,0.8099562760031679
svd,QuantileTransformer,True,mlp,1,0.7616055028214243,0.7774048979010811
voiced,QuantileTransformer,True,svm,1,0.6015786901270772,0.5842619745845552
voiced,QuantileTransformer,True,knn,1,0.5064907135874878,0.5222043010752688
voiced,QuantileTransformer,True,gaussianNB,1,0.6185581622678397,0.63297165200391
voiced,QuantileTransformer,True,lda,1,0.5308797653958945,0.5167888563049854
voiced,QuantileTransformer,True,qda,1,0.5682697947214076,0.5460948191593353
voiced,QuantileTransformer,True,dt,1,0.6136559139784946,0.5903225806451612
voiced,QuantileTransformer,True,rf,1,0.5800830889540567,0.5575073313782991
voiced,QuantileTransformer,True,adaboost,1,0.6044525904203324,0.5861192570869991
voiced,QuantileTransformer,True,mlp,1,0.5716862170087976,0.5396285434995113
svd,QuantileTransformer,False,svm,1,0.8135250589499947,0.8124192751463619
svd,QuantileTransformer,False,knn,1,0.7252973610090838,0.7191704034371572
svd,QuantileTransformer,False,gaussianNB,1,0.6838345441515429,0.6850716503257905
svd,QuantileTransformer,False,lda,1,0.7873591239538309,0.7920566490219801
svd,QuantileTransformer,False,qda,1,0.7531930959618135,0.7530593987722034
svd,QuantileTransformer,False,dt,1,0.7651348968584435,0.765639947363494
svd,QuantileTransformer,False,rf,1,0.8129012244675268,0.8126260306690772
svd,QuantileTransformer,False,adaboost,1,0.8134555903541724,0.8105933856297629
svd,QuantileTransformer,False,mlp,1,0.771667604326833,0.7709788180610482
voiced,QuantileTransformer,False,svm,1,0.5657471062699093,0.5822819124598879
voiced,QuantileTransformer,False,knn,1,0.5017696969532343,0.4954896105007339
voiced,QuantileTransformer,False,gaussianNB,1,0.6268607479119159,0.6303090237739848
voiced,QuantileTransformer,False,lda,1,0.5351518795957061,0.617301959154017
