dataset,scaler,stratify,classifier,seed,uar_correct,uar_leakage
svd,RobustScaler,True,svm,0,0.803963027158229,0.8039656435894168
svd,RobustScaler,True,knn,0,0.687362956926752,0.6873812120267955
svd,RobustScaler,True,gaussianNB,0,0.6646511503763413,0.6646511503763413
svd,RobustScaler,True,lda,0,0.8218468409090001,0.8218468409090001
svd,RobustScaler,True,qda,0,0.6896710414267666,0.6938047648462045
svd,RobustScaler,True,dt,0,0.7800061951861297,0.7800061951861297
svd,RobustScaler,True,rf,0,0.8149939754901588,0.8149939754901588
svd,RobustScaler,True,adaboost,0,0.8061810472333919,0.8061810472333919
svd,RobustScaler,True,mlp,0,0.7967383470764059,0.8032826806054724
voiced,RobustScaler,True,svm,0,0.5382209188660801,0.5315542521994134
voiced,RobustScaler,True,knn,0,0.4951270772238514,0.4708211143695015
voiced,RobustScaler,True,gaussianNB,0,0.5416520039100684,0.5416520039100684
voiced,RobustScaler,True,lda,0,0.5478250244379277,0.5478250244379277
voiced,RobustScaler,True,qda,0,0.5399217986314759,0.47948191593352885
voiced,RobustScaler,True,dt,0,0.6126392961876832,0.6117302052785923
voiced,RobustScaler,True,rf,0,0.6002590420332357,0.6002590420332357
voiced,RobustScaler,True,adaboost,0,0.558069403714565,0.558069403714565
voiced,RobustScaler,True,mlp,0,0.5388709677419354,0.5390224828934507
svd,RobustScaler,False,svm,0,0.7990360852254069,0.7977142126535344
svd,RobustScaler,False,knn,0,0.6703253967015517,0.6693587053020831
svd,RobustScaler,False,gaussianNB,0,0.6650745994303584,0.6645938301995893
svd,RobustScaler,False,lda,0,0.8153597918066664,0.8153597918066664
svd,RobustScaler,False,qda,0,0.6916543691880287,0.6909478058508685
svd,RobustScaler,False,dt,0,0.7958587565661147,0.7958587565661147
svd,RobustScaler,False,rf,0,0.8252948568508585,0.8252948568508585
svd,RobustScaler,False,adaboost,0,0.8205098009408051,0.8205098009408051
svd,RobustScaler,False,mlp,0,0.7833593806043364,0.7707431466251959
voiced,RobustScaler,False,svm,0,0.5347669046285565,0.5312178223148746
voiced,RobustScaler,False,knn,0,0.4867270030673813,0.4570428632824351
voiced,RobustScaler,False,gaussianNB,0,0.5428720820336503,0.5428720820336503
voiced,RobustScaler,False,lda,0,0.507931685944756,0.507931685944756
voiced,RobustScaler,False,qda,0,0.5148793450246453,0.5354361927005142
voiced,RobustScaler,False,dt,0,0.5621586971148984,0.5621586971148984
voiced,RobustScaler,False,rf,0,0.5036872619408771,0.5036872619408771
voiced,RobustScaler,False,adaboost,0,0.5371305529842794,0.5371305529842794
voiced,RobustScaler,False,mlp,0,0.5611688605702788,0.5417607932019779
svd,RobustScaler,True,svm,1,0.808553645554736,0.8087984007994914
svd,RobustScaler,True,knn,1,0.6880429185500068,0.6969336261702674
svd,RobustScaler,True,gaussianNB,1,0.6632925689359714,0.6632925689359714
svd,RobustScaler,True,lda,1,0.8336219414899894,0.8336219414899894
svd,RobustScaler,True,qda,1,0.6874509550790904,0.6874509550790904
svd,RobustScaler,True,dt,1,0.7841617851432464,0.784671989224879
svd,RobustScaler,True,rf,1,0.8260742801364394,0.8260742801364394
svd,RobustScaler,True,adaboost,1,0.8099562760031679,0.8099562760031679
svd,RobustScaler,True,mlp,1,0.7996821154127588,0.7900773454099518
voiced,RobustScaler,True,svm,1,0.5504740957966765,0.543763440860215
voiced,RobustScaler,True,knn,1,0.5168132942326491,0.5043010752688172
voiced,RobustScaler,True,gaussianNB,1,0.5551319648093841,0.5551319648093841
voiced,RobustScaler,True,lda,1,0.5340175953079179,0.5340175953079179
voiced,RobustScaler,True,qda,1,0.476544477028348,0.4865151515151515
voiced,RobustScaler,True,dt,1,0.5895650048875855,0.5895650048875855
voiced,RobustScaler,True,rf,1,0.5558406647116325,0.5558406647116325
voiced,RobustScaler,True,adaboost,1,0.6044525904203324,0.6044525904203324
voiced,RobustScaler,True,mlp,1,0.5307526881720429,0.5157966764418377
svd,RobustScaler,False,svm,1,0.8103066012245147,0.8077518560329375
svd,RobustScaler,False,knn,1,0.6914120021001557,0.6887154991034008
svd,RobustScaler,False,gaussianNB,1,0.661478207903213,0.661478207903213
svd,RobustScaler,False,lda,1,0.827980686288971,0.827980686288971
svd,RobustScaler,False,qda,1,0.6918810487483077,0.6900853405272818
svd,RobustScaler,False,dt,1,0.7832095851055437,0.7832095851055437
svd,RobustScaler,False,rf,1,0.8139794061841739,0.8139794061841739
svd,RobustScaler,False,adaboost,1,0.8105933856297629,0.8105933856297629
svd,RobustScaler,False,mlp,1,0.789588669143078,0.788386028892965
voiced,RobustScaler,False,svm,1,0.5560154991467561,0.5265710547023117
voiced,RobustScaler,False,knn,1,0.4420807674589654,0.4449483195089424
voiced,RobustScaler,False,gaussianNB,1,0.5775769463922968,0.5775769463922968
voiced,RobustScaler,False,lda,1,0.4788566319767654,0.4788566319767654
voiced,RobustScaler,False,qda,1,0.4325502407204299,0.5246498998056284
voiced,RobustScaler,False,dt,1,0.6268555421836847,0.6268555421836847
voiced,RobustScaler,False,rf,1,0.6257787754617565,0.6257787754617565
voiced,RobustScaler,False,adaboost,1,0.5781387810475686,0.5852816381904258
voiced,RobustScaler,False,mlp,1,0.554399080094297,0.511050493197323
svd,RobustScaler,True,svm,2,0.7966929471836778,0.7941521546428854
svd,RobustScaler,True,knn,2,0.6735875520335716,0.6712682047142243
svd,RobustScaler,True,gaussianNB,2,0.6608226724202734,0.6608226724202734
svd,RobustScaler,True,lda,2,0.816594623115888,0.816594623115888
svd,RobustScaler,True,qda,2,0.6879403312064162,0.6874482042857178
svd,RobustScaler,True,dt,2,0.7881230038591,0.7881230038591
svd,RobustScaler,True,rf,2,0.8195939592940682,0.8195939592940682
svd,RobustScaler,True,adaboost,2,0.8185478026154144,0.8185478026154144
svd,RobustScaler,True,mlp,2,0.7852546817050634,0.7796092711359888
voiced,RobustScaler,True,svm,2,0.5046676441837732,0.5017497556207234
voiced,RobustScaler,True,knn,2,0.495791788856305,0.5078739002932551
voiced,RobustScaler,True,gaussianNB,2,0.5597018572825024,0.5597018572825024
voiced,RobustScaler,True,lda,2,0.5659872922776149,0.5659872922776149
voiced,RobustScaler,True,qda,2,0.4531573802541544,0.4995112414467253
voiced,RobustScaler,True,dt,2,0.5620087976539588,0.5620087976539588
voiced,RobustScaler,True,rf,2,0.5594965786901271,0.5594965786901271
voiced,RobustScaler,True,adaboost,2,0.6122678396871946,0.6122678396871946
voiced,RobustScaler,True,mlp,2,0.5393010752688172,0.5353176930596285
svd,RobustScaler,False,svm,2,0.809762952070567,0.8097918772123002
svd,RobustScaler,False,knn,2,0.6812062546122446,0.6658837878176801
svd,RobustScaler,False,gaussianNB,2,0.6576677887575695,0.6582252636319412
svd,RobustScaler,False,lda,2,0.8227698104952923,0.8227698104952923
svd,RobustScaler,False,qda,2,0.6875943369499973,0.6898657040865338
svd,RobustScaler,False,dt,2,0.7938197043829119,0.7938197043829119
svd,RobustScaler,False,rf,2,0.8261981809482896,0.8261981809482896
svd,RobustScaler,False,adaboost,2,0.8176999980012762,0.8176999980012762
svd,RobustScaler,False,mlp,2,0.7914203705195935,0.7870428551615114
voiced,RobustScaler,False,svm,2,0.5580836312204908,0.5647502978871575
voiced,RobustScaler,False,knn,2,0.5295120416690626,0.4951981316964714
voiced,RobustScaler,False,gaussianNB,2,0.5183106499849858,0.5183106499849858
voiced,RobustScaler,False,lda,2,0.4882760655255912,0.4882760655255912
voiced,RobustScaler,False,qda,2,0.4858605664488017,0.5069150326797385
voiced,RobustScaler,False,dt,2,0.6175383883106843,0.6182791290514251
voiced,RobustScaler,False,rf,2,0.5483149857205835,0.5483149857205835
voiced,RobustScaler,False,adaboost,2,0.599097577610386,0.599097577610386
voiced,RobustScaler,False,mlp,2,0.5937427221295819,0.5944556850925448
svd,RobustScaler,True,svm,3,0.7997514208801013,0.7992386003672808
svd,RobustScaler,True,knn,3,0.6873599101734325,0.683944842870688
svd,RobustScaler,True,gaussianNB,3,0.6636080422667119,0.6636080422667119
svd,RobustScaler,True,lda,3,0.8242754991282798,0.8242754991282798
svd,RobustScaler,True,qda,3,0.6864637725052121,0.6839075192346731
svd,RobustScaler,True,dt,3,0.7873596614218206,0.7873596614218206
svd,RobustScaler,True,rf,3,0.8249091057978737,0.8249091057978737
svd,RobustScaler,True,adaboost,3,0.8157778335804509,0.8157778335804509
svd,RobustScaler,True,mlp,3,0.7834578925255042,0.778653738119387
voiced,RobustScaler,True,svm,3,0.5548435972629522,0.5339149560117302
voiced,RobustScaler,True,knn,3,0.4502785923753666,0.4470527859237537
voiced,RobustScaler,True,gaussianNB,3,0.5349657869012707,0.5349657869012707
voiced,RobustScaler,True,lda,3,0.4582991202346041,0.4582991202346041
voiced,RobustScaler,True,qda,3,0.5272776148582599,0.5368670576735093
voiced,RobustScaler,True,dt,3,0.6046285434995113,0.6046285434995113
