dataset,scaler,stratify,classifier,seed,uar_correct,uar_leakage
svd,StandardScaler,True,svm,0,0.8260263364407312,0.827559565116817
svd,StandardScaler,True,knn,0,0.7339150961724571,0.7309355457338009
svd,StandardScaler,True,gaussianNB,0,0.6583635248793372,0.6563122428280552
svd,StandardScaler,True,lda,0,0.8218468409090001,0.8218468409090001
svd,StandardScaler,True,qda,0,0.7357282575657713,0.7408214086894567
svd,StandardScaler,True,dt,0,0.7800061951861297,0.7800061951861297
svd,StandardScaler,True,rf,0,0.8149939754901588,0.8180009684971516
svd,StandardScaler,True,adaboost,0,0.8061810472333919,0.8061810472333919
svd,StandardScaler,True,mlp,0,0.7979360189065751,0.7974582523982743
voiced,StandardScaler,True,svm,0,0.5415542521994134,0.5374633431085043
voiced,StandardScaler,True,knn,0,0.5058211143695015,0.522336265884653
voiced,StandardScaler,True,gaussianNB,0,0.5499853372434018,0.5499853372434018
voiced,StandardScaler,True,lda,0,0.5478250244379277,0.5478250244379277
voiced,StandardScaler,True,qda,0,0.5009139784946236,0.4886119257086999
voiced,StandardScaler,True,dt,0,0.6117302052785923,0.6117302052785923
voiced,StandardScaler,True,rf,0,0.6002590420332357,0.6002590420332357
voiced,StandardScaler,True,adaboost,0,0.558069403714565,0.558069403714565
voiced,StandardScaler,True,mlp,0,0.591446725317693,0.5939784946236559
svd,StandardScaler,False,svm,0,0.8265463484769079,0.8249355125043699
svd,StandardScaler,False,knn,0,0.7136093124582377,0.7194626898973503
svd,StandardScaler,False,gaussianNB,0,0.6581373005593454,0.6581373005593454
svd,StandardScaler,False,lda,0,0.8153597918066664,0.8153597918066664
svd,StandardScaler,False,qda,0,0.7318885994798932,0.736370629951821
svd,StandardScaler,False,dt,0,0.7958587565661147,0.7958587565661147
svd,StandardScaler,False,rf,0,0.8258267717444754,0.8230086687437748
svd,StandardScaler,False,adaboost,0,0.8205098009408051,0.8205098009408051
svd,StandardScaler,False,mlp,0,0.7774841748362566,0.7878469807638271
voiced,StandardScaler,False,svm,0,0.5231892467932513,0.5390065544855589
voiced,StandardScaler,False,knn,0,0.46598283251787154,0.4638802583678835
voiced,StandardScaler,False,gaussianNB,0,0.5477571395049148,0.5477571395049148
voiced,StandardScaler,False,lda,0,0.507931685944756,0.5112650192780894
voiced,StandardScaler,False,qda,0,0.5296063257284058,0.5180517753473816
voiced,StandardScaler,False,dt,0,0.5621586971148984,0.5621586971148984
voiced,StandardScaler,False,rf,0,0.5036872619408771,0.5036872619408771
voiced,StandardScaler,False,adaboost,0,0.5371305529842794,0.5371305529842794
voiced,StandardScaler,False,mlp,0,0.5647378870202842,0.5950123437463538
svd,StandardScaler,True,svm,1,0.8291107529329993,0.8301130839353303
svd,StandardScaler,True,knn,1,0.7180327959935375,0.7256115422200483
svd,StandardScaler,True,gaussianNB,1,0.657535053096667,0.657535053096667
svd,StandardScaler,True,lda,1,0.8336219414899894,0.8336219414899894
svd,StandardScaler,True,qda,1,0.7447364975990929,0.746517097951122
svd,StandardScaler,True,dt,1,0.7841617851432464,0.7841617851432464
svd,StandardScaler,True,rf,1,0.8260742801364394,0.8260742801364394
svd,StandardScaler,True,adaboost,1,0.8099562760031679,0.8099562760031679
svd,StandardScaler,True,mlp,1,0.7926233108948486,0.7974410976155797
voiced,StandardScaler,True,svm,1,0.5621163245356793,0.5604496578690126
voiced,StandardScaler,True,knn,1,0.504652981427175,0.5055620723362658
voiced,StandardScaler,True,gaussianNB,1,0.5551319648093841,0.5551319648093841
voiced,StandardScaler,True,lda,1,0.5340175953079179,0.5373509286412512
voiced,StandardScaler,True,qda,1,0.48097751710654946,0.5149608993157381
voiced,StandardScaler,True,dt,1,0.5895650048875855,0.5895650048875855
voiced,StandardScaler,True,rf,1,0.5558406647116325,0.5558406647116325
voiced,StandardScaler,True,adaboost,1,0.6044525904203324,0.6044525904203324
voiced,StandardScaler,True,mlp,1,0.6117302052785923,0.5961876832844576
svd,StandardScaler,False,svm,1,0.8309598045894377,0.8302505847312818
svd,StandardScaler,False,knn,1,0.7186417896819985,0.7359842070989773
svd,StandardScaler,False,gaussianNB,1,0.6572427091624489,0.6582427091624489
svd,StandardScaler,False,lda,1,0.827980686288971,0.827980686288971
svd,StandardScaler,False,qda,1,0.7390289274659557,0.739124367464007
svd,StandardScaler,False,dt,1,0.7832095851055437,0.7832095851055437
svd,StandardScaler,False,rf,1,0.8139794061841739,0.8146886260423299
svd,StandardScaler,False,adaboost,1,0.8105933856297629,0.8105933856297629
svd,StandardScaler,False,mlp,1,0.7912895095884785,0.7878425608308385
voiced,StandardScaler,False,svm,1,0.5677938618872991,0.5924234915169286
voiced,StandardScaler,False,knn,1,0.47271209304023537,0.49452953876758105
voiced,StandardScaler,False,gaussianNB,1,0.5715733621629061,0.5715733621629061
voiced,StandardScaler,False,lda,1,0.4788566319767654,0.4788566319767654
voiced,StandardScaler,False,qda,1,0.512962801010632,0.49751082662651075
voiced,StandardScaler,False,dt,1,0.6296333199614624,0.6296333199614624
voiced,StandardScaler,False,rf,1,0.6257787754617565,0.6257787754617565
voiced,StandardScaler,False,adaboost,1,0.5852816381904258,0.5852816381904258
voiced,StandardScaler,False,mlp,1,0.5689589936697834,0.5573543594789422
svd,StandardScaler,True,svm,2,0.8296919129579979,0.8299335016128909
svd,StandardScaler,True,knn,2,0.7213156291182463,0.7297089769554328
svd,StandardScaler,True,gaussianNB,2,0.6563236745079711,0.6578362095919348
svd,StandardScaler,True,lda,2,0.816594623115888,0.816594623115888
svd,StandardScaler,True,qda,2,0.7370714981129376,0.737584318625758
svd,StandardScaler,True,dt,2,0.7881230038591,0.7881230038591
svd,StandardScaler,True,rf,2,0.8195939592940682,0.8195939592940682
svd,StandardScaler,True,adaboost,2,0.8185478026154144,0.8185478026154144
svd,StandardScaler,True,mlp,2,0.797445290078878,0.7887995156424819
voiced,StandardScaler,True,svm,2,0.5576783968719454,0.5392815249266862
voiced,StandardScaler,True,knn,2,0.5271358748778103,0.5140175953079179
voiced,StandardScaler,True,gaussianNB,2,0.5655669599217986,0.5655669599217986
voiced,StandardScaler,True,lda,2,0.5659872922776149,0.5659872922776149
voiced,StandardScaler,True,qda,2,0.514809384164223,0.4962805474095798
voiced,StandardScaler,True,dt,2,0.5620087976539588,0.5620087976539588
voiced,StandardScaler,True,rf,2,0.5594965786901271,0.5594965786901271
voiced,StandardScaler,True,adaboost,2,0.6122678396871946,0.6122678396871946
voiced,StandardScaler,True,mlp,2,0.5368132942326491,0.5081524926686217
svd,StandardScaler,False,svm,2,0.8311685524256743,0.8327073672217816
svd,StandardScaler,False,knn,2,0.7223656966962366,0.7248721514948946
svd,StandardScaler,False,gaussianNB,2,0.6567710987841897,0.6567710987841897
svd,StandardScaler,False,lda,2,0.8227698104952923,0.8227698104952923
