dataset,scaler,stratify,classifier,seed,acc_correct,uar_correct,acc_leakage,uar_leakage
svd,QuantileTransformer,True,svm,0,0.8292682926829268,0.818800247371676,0.8384146341463414,0.8276901669758813
svd,QuantileTransformer,True,knn,0,0.7439024390243902,0.7312925170068028,0.7621951219512195,0.7478354978354977
svd,QuantileTransformer,True,gaussianNB,0,0.6798780487804879,0.7061688311688312,0.6859756097560976,0.7125077303648732
svd,QuantileTransformer,True,lda,0,0.7835365853658537,0.7669294990723562,0.7865853658536586,0.7731910946196661
svd,QuantileTransformer,True,qda,0,0.7469512195121951,0.7474489795918368,0.75,0.75
svd,QuantileTransformer,True,dt,0,0.7987804878048781,0.7858688930117501,0.7987804878048781,0.7858688930117501
svd,QuantileTransformer,True,rf,0,0.7957317073170732,0.7721861471861472,0.7957317073170732,0.7721861471861472
svd,QuantileTransformer,True,adaboost,0,0.7926829268292683,0.7646876932591218,0.7926829268292683,0.7646876932591218
svd,QuantileTransformer,True,mlp,0,0.801829268292683,0.7859461966604824,0.7987804878048781,0.7809214594928882
voiced,QuantileTransformer,True,svm,0,0.7142857142857143,0.65,0.7142857142857143,0.65
voiced,QuantileTransformer,True,knn,0,0.6190476190476191,0.45833333333333337,0.6190476190476191,0.45833333333333337
voiced,QuantileTransformer,True,gaussianNB,0,0.5238095238095238,0.6416666666666666,0.5238095238095238,0.6416666666666666
voiced,QuantileTransformer,True,lda,0,0.4523809523809524,0.39166666666666666,0.47619047619047616,0.45833333333333337
voiced,QuantileTransformer,True,qda,0,0.5238095238095238,0.5916666666666667,0.47619047619047616,0.5333333333333333
voiced,QuantileTransformer,True,dt,0,0.6190476190476191,0.5833333333333333,0.6428571428571429,0.625
voiced,QuantileTransformer,True,rf,0,0.6904761904761905,0.5083333333333333,0.6904761904761905,0.5083333333333333
voiced,QuantileTransformer,True,adaboost,0,0.6904761904761905,0.5583333333333333,0.6904761904761905,0.5583333333333333
