dataset,scaler,stratify,classifier,seed,acc_correct,uar_correct,acc_leakage,uar_leakage
svd,RobustScaler,True,svm,0,0.8170731707317073,0.8098330241187384,0.8170731707317073,0.8098330241187384
svd,RobustScaler,True,knn,0,0.7164634146341463,0.691017316017316,0.7378048780487805,0.716295609152752
svd,RobustScaler,True,gaussianNB,0,0.6585365853658537,0.6932591218305504,0.6585365853658537,0.6932591218305504
svd,RobustScaler,True,lda,0,0.8170731707317073,0.8110698824984539,0.8170731707317073,0.8110698824984539
svd,RobustScaler,True,qda,0,0.6859756097560976,0.7186920222634507,0.6859756097560976,0.7186920222634507
svd,RobustScaler,True,dt,0,0.7987804878048781,0.7858688930117501,0.7987804878048781,0.7858688930117501
svd,RobustScaler,True,rf,0,0.7987804878048781,0.7747371675943104,0.7987804878048781,0.7747371675943104
svd,RobustScaler,True,adaboost,0,0.7926829268292683,0.7646876932591218,0.7926829268292683,0.7646876932591218
svd,RobustScaler,True,mlp,0,0.7896341463414634,0.7732683982683983,0.7957317073170732,0.7845547309833024
voiced,RobustScaler,True,svm,0,0.6428571428571429,0.55,0.6428571428571429,0.55
voiced,RobustScaler,True,knn,0,0.7142857142857143,0.5,0.7142857142857143,0.5
voiced,RobustScaler,True,gaussianNB,0,0.40476190476190477,0.5583333333333333,0.40476190476190477,0.5583333333333333
voiced,RobustScaler,True,lda,0,0.6428571428571429,0.6,0.6428571428571429,0.6
voiced,RobustScaler,True,qda,0,0.5476190476190477,0.4833333333333333,0.5476190476190477,0.4833333333333333
voiced,RobustScaler,True,dt,0,0.6428571428571429,0.5,0.6428571428571429,0.5
voiced,RobustScaler,True,rf,0,0.6904761904761905,0.5083333333333333,0.6904761904761905,0.5083333333333333
voiced,RobustScaler,True,adaboost,0,0.6904761904761905,0.5583333333333333,0.6904761904761905,0.5583333333333333
voiced,RobustScaler,True,mlp,0,0.6666666666666666,0.5916666666666667,0.6428571428571429,0.55
svd,RobustScaler,False,svm,0,0.7865853658536586,0.7796425796425797,0.7804878048780488,0.7706293706293706
svd,RobustScaler,False,knn,0,0.6707317073170732,0.644055944055944,0.6676829268292683,0.6428515928515929
svd,RobustScaler,False,gaussianNB,0,0.6097560975609756,0.6397824397824398,0.6097560975609756,0.6397824397824398
svd,RobustScaler,False,lda,0,0.7987804878048781,0.798989898989899,0.7987804878048781,0.798989898989899
svd,RobustScaler,False,qda,0,0.6310975609756098,0.6627428127428128,0.6341463414634146,0.6665889665889666
svd,RobustScaler,False,dt,0,0.7865853658536586,0.7783216783216784,0.7865853658536586,0.7783216783216784
svd,RobustScaler,False,rf,0,0.8201219512195121,0.8113830613830614,0.8201219512195121,0.8113830613830614
svd,RobustScaler,False,adaboost,0,0.8170731707317073,0.8035742035742036,0.8170731707317073,0.8035742035742036
svd,RobustScaler,False,mlp,0,0.7682926829268293,0.7578865578865579,0.7713414634146342,0.7604118104118105
voiced,RobustScaler,False,svm,0,0.7619047619047619,0.5,0.6904761904761905,0.55625
voiced,RobustScaler,False,knn,0,0.5714285714285714,0.478125,0.7619047619047619,0.534375
voiced,RobustScaler,False,gaussianNB,0,0.42857142857142855,0.55625,0.42857142857142855,0.55625
voiced,RobustScaler,False,lda,0,0.47619047619047616,0.51875,0.47619047619047616,0.51875
voiced,RobustScaler,False,qda,0,0.2857142857142857,0.53125,0.2857142857142857,0.53125
voiced,RobustScaler,False,dt,0,0.5952380952380952,0.425,0.5952380952380952,0.425
voiced,RobustScaler,False,rf,0,0.7619047619047619,0.534375,0.7619047619047619,0.534375
voiced,RobustScaler,False,adaboost,0,0.6190476190476191,0.509375,0.6190476190476191,0.509375
voiced,RobustScaler,False,mlp,0,0.6666666666666666,0.540625,0.7380952380952381,0.621875
svd,RobustScaler,True,svm,1,0.8048780487804879,0.7959183673469388,0.801829268292683,0.79213048855906
svd,RobustScaler,True,knn,1,0.7195121951219512,0.6861471861471862,0.7195121951219512,0.6861471861471862
svd,RobustScaler,True,gaussianNB,1,0.6219512195121951,0.6576994434137291,0.6219512195121951,0.6576994434137291
svd,RobustScaler,True,lda,1,0.8170731707317073,0.8061224489795918,0.8170731707317073,0.8061224489795918
svd,RobustScaler,True,qda,1,0.649390243902439,0.6806586270871986,0.6463414634146342,0.6768707482993197
svd,RobustScaler,True,dt,1,0.8353658536585366,0.8214285714285714,0.8353658536585366,0.8214285714285714
svd,RobustScaler,True,rf,1,0.8689024390243902,0.8494897959183674,0.8689024390243902,0.8494897959183674
svd,RobustScaler,True,adaboost,1,0.8475609756097561,0.8291589363017935,0.8475609756097561,0.8291589363017935
svd,RobustScaler,True,mlp,1,0.8079268292682927,0.7984693877551021,0.8170731707317073,0.8073593073593073
voiced,RobustScaler,True,svm,1,0.5714285714285714,0.4,0.5714285714285714,0.4
voiced,RobustScaler,True,knn,1,0.5238095238095238,0.39166666666666666,0.5238095238095238,0.39166666666666666
voiced,RobustScaler,True,gaussianNB,1,0.38095238095238093,0.44166666666666665,0.38095238095238093,0.44166666666666665
voiced,RobustScaler,True,lda,1,0.5238095238095238,0.5166666666666666,0.5238095238095238,0.5166666666666666
voiced,RobustScaler,True,qda,1,0.6428571428571429,0.47500000000000003,0.5,0.525
voiced,RobustScaler,True,dt,1,0.7619047619047619,0.5833333333333334,0.5238095238095238,0.4666666666666667
voiced,RobustScaler,True,rf,1,0.6666666666666666,0.4666666666666667,0.6666666666666666,0.4666666666666667
voiced,RobustScaler,True,adaboost,1,0.7619047619047619,0.5833333333333334,0.7619047619047619,0.5833333333333334
voiced,RobustScaler,True,mlp,1,0.6666666666666666,0.5166666666666667,0.6666666666666666,0.5166666666666667
svd,RobustScaler,False,svm,1,0.8323170731707317,0.8285167064891721,0.8323170731707317,0.8285167064891721
svd,RobustScaler,False,knn,1,0.6585365853658537,0.6377289794060758,0.6676829268292683,0.6474949747790799
svd,RobustScaler,False,gaussianNB,1,0.6310975609756098,0.6598968407479046,0.6310975609756098,0.6598968407479046
svd,RobustScaler,False,lda,1,0.8567073170731707,0.8621193158114309,0.8567073170731707,0.8621193158114309
svd,RobustScaler,False,qda,1,0.625,0.6510600371676717,0.625,0.6510600371676717
svd,RobustScaler,False,dt,1,0.8536585365853658,0.8515947965259605,0.8536585365853658,0.8515947965259605
svd,RobustScaler,False,rf,1,0.8628048780487805,0.8561269769029468,0.8628048780487805,0.8561269769029468
svd,RobustScaler,False,adaboost,1,0.8414634146341463,0.8278150718701407,0.8414634146341463,0.8278150718701407
svd,RobustScaler,False,mlp,1,0.8262195121951219,0.8266583229036295,0.8079268292682927,0.8071263321576213
voiced,RobustScaler,False,svm,1,0.5238095238095238,0.4666666666666667,0.5,0.43333333333333335
voiced,RobustScaler,False,knn,1,0.6428571428571429,0.5740740740740741,0.6428571428571429,0.5740740740740741
voiced,RobustScaler,False,gaussianNB,1,0.5,0.5518518518518518,0.5,0.5518518518518518
voiced,RobustScaler,False,lda,1,0.5714285714285714,0.5629629629629629,0.5714285714285714,0.5629629629629629
voiced,RobustScaler,False,qda,1,0.4523809523809524,0.5296296296296297,0.5714285714285714,0.47407407407407404
voiced,RobustScaler,False,dt,1,0.6904761904761905,0.6407407407407407,0.6904761904761905,0.6407407407407407
voiced,RobustScaler,False,rf,1,0.6666666666666666,0.5481481481481482,0.6666666666666666,0.5481481481481482
voiced,RobustScaler,False,adaboost,1,0.6190476190476191,0.5259259259259259,0.6190476190476191,0.5259259259259259
voiced,RobustScaler,False,mlp,1,0.6190476190476191,0.5555555555555556,0.5714285714285714,0.5037037037037037
svd,RobustScaler,True,svm,2,0.7987804878048781,0.7932900432900433,0.7957317073170732,0.79073902288188
