dataset,scaler,stratify,classifier,seed,acc_correct,uar_correct,acc_leakage,uar_leakage
svd,StandardScaler,True,svm,0,0.8323170731707317,0.8250618429189858,0.8323170731707317,0.8250618429189858
svd,StandardScaler,True,knn,0,0.7530487804878049,0.7339981447124304,0.7439024390243902,0.7263450834879406
svd,StandardScaler,True,gaussianNB,0,0.6402439024390244,0.6816635745207174,0.6432926829268293,0.6842145949288807
svd,StandardScaler,True,lda,0,0.8170731707317073,0.8110698824984539,0.8170731707317073,0.8110698824984539
svd,StandardScaler,True,qda,0,0.7408536585365854,0.7633735312306741,0.7378048780487805,0.7608225108225108
svd,StandardScaler,True,dt,0,0.7987804878048781,0.7858688930117501,0.7987804878048781,0.7858688930117501
svd,StandardScaler,True,rf,0,0.7987804878048781,0.7747371675943104,0.7987804878048781,0.7747371675943104
svd,StandardScaler,True,adaboost,0,0.7926829268292683,0.7646876932591218,0.7926829268292683,0.7646876932591218
svd,StandardScaler,True,mlp,0,0.7987804878048781,0.7821583178726036,0.8079268292682927,0.7947588126159555
voiced,StandardScaler,True,svm,0,0.7380952380952381,0.6666666666666667,0.7142857142857143,0.625
voiced,StandardScaler,True,knn,0,0.6666666666666666,0.4916666666666667,0.7142857142857143,0.55
voiced,StandardScaler,True,gaussianNB,0,0.40476190476190477,0.5583333333333333,0.40476190476190477,0.5583333333333333
voiced,StandardScaler,True,lda,0,0.6428571428571429,0.6,0.6428571428571429,0.6
voiced,StandardScaler,True,qda,0,0.5238095238095238,0.5666666666666667,0.6190476190476191,0.45833333333333337
voiced,StandardScaler,True,dt,0,0.6428571428571429,0.5,0.6428571428571429,0.5
voiced,StandardScaler,True,rf,0,0.6904761904761905,0.5083333333333333,0.6904761904761905,0.5083333333333333
voiced,StandardScaler,True,adaboost,0,0.6904761904761905,0.5583333333333333,0.6904761904761905,0.5583333333333333
voiced,StandardScaler,True,mlp,0,0.6904761904761905,0.6083333333333334,0.7142857142857143,0.625
svd,StandardScaler,False,svm,0,0.8201219512195121,0.814024864024864,0.8201219512195121,0.8153457653457653
svd,StandardScaler,False,knn,0,0.7073170731707317,0.6928515928515928,0.7103658536585366,0.7006604506604507
svd,StandardScaler,False,gaussianNB,0,0.5975609756097561,0.6362859362859363,0.600609756097561,0.6388111888111888
svd,StandardScaler,False,lda,0,0.7987804878048781,0.798989898989899,0.7987804878048781,0.798989898989899
svd,StandardScaler,False,qda,0,0.6859756097560976,0.706876456876457,0.6859756097560976,0.706876456876457
svd,StandardScaler,False,dt,0,0.7865853658536586,0.7783216783216784,0.7865853658536586,0.7783216783216784
svd,StandardScaler,False,rf,0,0.8292682926829268,0.8202797202797203,0.8292682926829268,0.8202797202797203
svd,StandardScaler,False,adaboost,0,0.8170731707317073,0.8035742035742036,0.8170731707317073,0.8035742035742036
svd,StandardScaler,False,mlp,0,0.7865853658536586,0.7703962703962703,0.774390243902439,0.7668997668997668
voiced,StandardScaler,False,svm,0,0.6904761904761905,0.590625,0.6904761904761905,0.590625
voiced,StandardScaler,False,knn,0,0.7142857142857143,0.571875,0.6904761904761905,0.521875
voiced,StandardScaler,False,gaussianNB,0,0.42857142857142855,0.55625,0.42857142857142855,0.55625
voiced,StandardScaler,False,lda,0,0.47619047619047616,0.51875,0.47619047619047616,0.51875
voiced,StandardScaler,False,qda,0,0.5238095238095238,0.55,0.7142857142857143,0.571875
voiced,StandardScaler,False,dt,0,0.5952380952380952,0.425,0.5952380952380952,0.425
voiced,StandardScaler,False,rf,0,0.7619047619047619,0.534375,0.7619047619047619,0.534375
voiced,StandardScaler,False,adaboost,0,0.6190476190476191,0.509375,0.6190476190476191,0.509375
voiced,StandardScaler,False,mlp,0,0.7857142857142857,0.6875,0.8095238095238095,0.703125
svd,StandardScaler,True,svm,1,0.8384146341463414,0.8276901669758813,0.8353658536585366,0.825139146567718
svd,StandardScaler,True,knn,1,0.7195121951219512,0.6923314780457637,0.7439024390243902,0.7189239332096475
svd,StandardScaler,True,gaussianNB,1,0.6189024390243902,0.657622139764997,0.6189024390243902,0.657622139764997
svd,StandardScaler,True,lda,1,0.8170731707317073,0.8061224489795918,0.8170731707317073,0.8061224489795918
svd,StandardScaler,True,qda,1,0.7408536585365854,0.7608998144712431,0.7347560975609756,0.7557977736549165
svd,StandardScaler,True,dt,1,0.8353658536585366,0.8214285714285714,0.8353658536585366,0.8214285714285714
svd,StandardScaler,True,rf,1,0.8689024390243902,0.8494897959183674,0.8689024390243902,0.8494897959183674
svd,StandardScaler,True,adaboost,1,0.8475609756097561,0.8291589363017935,0.8475609756097561,0.8291589363017935
svd,StandardScaler,True,mlp,1,0.8048780487804879,0.7983920841063699,0.7713414634146342,0.7591991341991342
voiced,StandardScaler,True,svm,1,0.5714285714285714,0.475,0.5952380952380952,0.4166666666666667
voiced,StandardScaler,True,knn,1,0.5476190476190477,0.4083333333333333,0.6190476190476191,0.45833333333333337
voiced,StandardScaler,True,gaussianNB,1,0.38095238095238093,0.44166666666666665,0.38095238095238093,0.44166666666666665
voiced,StandardScaler,True,lda,1,0.5238095238095238,0.5166666666666666,0.5238095238095238,0.5166666666666666
voiced,StandardScaler,True,qda,1,0.5952380952380952,0.5416666666666666,0.5476190476190477,0.4333333333333333
voiced,StandardScaler,True,dt,1,0.5238095238095238,0.4666666666666667,0.5238095238095238,0.4666666666666667
voiced,StandardScaler,True,rf,1,0.6666666666666666,0.4666666666666667,0.6666666666666666,0.4666666666666667
voiced,StandardScaler,True,adaboost,1,0.7619047619047619,0.5833333333333334,0.7619047619047619,0.5833333333333334
voiced,StandardScaler,True,mlp,1,0.6666666666666666,0.5416666666666667,0.6428571428571429,0.525
svd,StandardScaler,False,svm,1,0.8628048780487805,0.8639776993969734,0.8597560975609756,0.8604316001061934
